Region ID,OSM ID,Access Score,Coordinates,Average Curb Ramp Score,Average No Curb Ramp Score,Average Obstacle Score,Average Surface Problem Score,Curb Ramp Significance,No Curb Ramp Significance,Obstacle Significance,Surface Problem Significance
30,26753158,8.315280276641321e-07,"[(-100.3877681,25.6432513),(-100.38825498429954,25.642818467934493)]",0.0,3.0,8.0,3.0,0.75,-1.0,-1.0,-1.0
31,26753158,1.3887943864771144e-11,"[(-100.38825498429954,25.642818467934493),(-100.3887085,25.6424153)]",0.0,11.0,11.0,3.0,0.75,-1.0,-1.0,-1.0
32,26753293,2.2603242979035742e-06,"[(-100.3743919,25.6676598),(-100.3742924,25.6676158),(-100.37428744522637,25.667613769068055)]",0.0,4.0,4.0,5.0,0.75,-1.0,-1.0,-1.0
33,26753293,4.1399375473943306e-08,"[(-100.37428744522637,25.667613769068055),(-100.3742075,25.667581),(-100.3741525,25.6675329),(-100.3741214,25.6674189)]",0.0,4.0,6.0,7.0,0.75,-1.0,-1.0,-1.0
34,26753348,1.2501528648238603e-09,"[(-100.3826019,25.6433873),(-100.3829244,25.6424683)]",2.0,11.0,6.0,5.0,0.75,-1.0,-1.0,-1.0
35,26753348,7.781132241133798e-20,"[(-100.3819784,25.6451945),(-100.3823135,25.6442856)]",0.0,18.0,17.0,9.0,0.75,-1.0,-1.0,-1.0
36,26753348,2.6810038677817314e-14,"[(-100.3823135,25.6442856),(-100.3826019,25.6433873)]",1.0,16.0,8.0,8.0,0.75,-1.0,-1.0,-1.0
37,26753348,4.193795658377786e-13,"[(-100.3816515,25.6461112),(-100.3819784,25.6451945)]",2.0,17.0,11.0,2.0,0.75,-1.0,-1.0,-1.0
38,26753348,9.237449576640121e-09,"[(-100.3837683,25.6402371),(-100.3839293,25.6397192)]",2.0,9.0,8.0,3.0,0.75,-1.0,-1.0,-1.0
39,26753348,1.067702870044147e-06,"[(-100.3839293,25.6397192),(-100.3839532,25.6396462)]",3.0,7.0,6.0,3.0,0.75,-1.0,-1.0,-1.0
40,26753348,2.2603242979035742e-06,"[(-100.3832763,25.6415871),(-100.3834954,25.6410207)]",0.0,4.0,8.0,1.0,0.75,-1.0,-1.0,-1.0
41,26753348,2.2603242979035742e-06,"[(-100.3830563,25.6421301),(-100.3832763,25.6415871)]",0.0,3.0,8.0,2.0,0.75,-1.0,-1.0,-1.0
42,26753348,8.764247451323236e-08,"[(-100.3834954,25.6410207),(-100.3837683,25.6402371)]",1.0,7.0,9.0,1.0,0.75,-1.0,-1.0,-1.0
43,26753348,1.7603432133424856e-06,"[(-100.3829244,25.6424683),(-100.3830563,25.6421301)]",1.0,5.0,7.0,2.0,0.75,-1.0,-1.0,-1.0
44,26763695,7.681204685202035e-15,"[(-100.3658481,25.6518415),(-100.3660767,25.6511166),(-100.3663821,25.6501141)]",2.0,3.0,17.0,14.0,0.75,-1.0,-1.0,-1.0
45,26763695,2.115131037591081e-19,"[(-100.3663821,25.6501141),(-100.3667159,25.6490795),(-100.3669867,25.6482023),(-100.3671433,25.6477389)]",0.0,4.0,21.0,18.0,0.75,-1.0,-1.0,-1.0
46,26763695,7.582560422162384e-10,"[(-100.3686634,25.6431073),(-100.368859,25.6424896)]",0.0,13.0,3.0,5.0,0.75,-1.0,-1.0,-1.0
47,26763695,1.4828213355760042e-17,"[(-100.3680111,25.6451043),(-100.3683387,25.6441112)]",3.0,14.0,15.0,12.0,0.75,-1.0,-1.0,-1.0
48,26763695,4.910429870159112e-16,"[(-100.3683387,25.6441112),(-100.3686634,25.6431073)]",1.0,15.0,10.0,11.0,0.75,-1.0,-1.0,-1.0
49,26763695,4.53978687024344e-05,"[(-100.368859,25.6424896),(-100.368958,25.6421783)]",0.0,6.0,1.0,3.0,0.75,-1.0,-1.0,-1.0
50,26763695,4.248354255291589e-18,"[(-100.3673791,25.6470393),(-100.3676957,25.6460701)]",0.0,16.0,8.0,16.0,0.75,-1.0,-1.0,-1.0
51,26763695,1.7139084315420102e-15,"[(-100.3671433,25.6477389),(-100.3673189,25.6472235),(-100.3673791,25.6470393)]",0.0,12.0,10.0,12.0,0.75,-1.0,-1.0,-1.0
52,26763695,8.423463754397692e-12,"[(-100.3676957,25.6460701),(-100.3680111,25.6451043)]",2.0,13.0,7.0,7.0,0.75,-1.0,-1.0,-1.0
53,26763825,3.873997628687187e-21,"[(-100.396649,25.6527649),(-100.396293,25.653581)]",0.0,13.0,20.0,14.0,0.75,-1.0,-1.0,-1.0
54,26763825,1.0121150314608955e-24,"[(-100.3959416,25.6543906),(-100.39553,25.6552058)]",1.0,19.0,22.0,15.0,0.75,-1.0,-1.0,-1.0
55,26763825,7.095474162284704e-23,"[(-100.396293,25.653581),(-100.3959416,25.6543906)]",0.0,16.0,20.0,15.0,0.75,-1.0,-1.0,-1.0
56,26763825,8.201253044288238e-21,"[(-100.3948336,25.6568257),(-100.3946595,25.6572012)]",1.0,14.0,21.0,12.0,0.75,-1.0,-1.0,-1.0
57,26763825,2.6442371294280543e-28,"[(-100.39553,25.6552058),(-100.3951978,25.6560161)]",2.0,23.0,25.0,17.0,0.75,-1.0,-1.0,-1.0
58,26763825,1.4437045551572354e-26,"[(-100.3951978,25.6560161),(-100.3948336,25.6568257)]",2.0,19.0,25.0,17.0,0.75,-1.0,-1.0,-1.0
