Region ID,OSM ID,Access Score,Coordinates,Average Curb Ramp Score,Average No Curb Ramp Score,Average Obstacle Score,Average Surface Problem Score,Curb Ramp Significance,No Curb Ramp Significance,Obstacle Significance,Surface Problem Significance
1024,137578309,6.144174602214718e-06,"[(-100.3764244,25.6673538),(-100.3763508,25.6674517)]",0.0,5.0,3.0,4.0,0.75,-1.0,-1.0,-1.0
1025,137578310,1.8048513878454156e-35,"[(-100.372016,25.6669041),(-100.3733226,25.6666055),(-100.3737647,25.6665243),(-100.3740411,25.6665233),(-100.3743647,25.6665636)]",0.0,16.0,38.0,26.0,0.75,-1.0,-1.0,-1.0
1026,137578310,3.975449735908647e-31,"[(-100.3743647,25.6665636),(-100.3765906,25.6669058)]",0.0,16.0,35.0,19.0,0.75,-1.0,-1.0,-1.0
1027,137578310,9.854154686111256e-34,"[(-100.3684135,25.666881),(-100.3688945,25.6669718),(-100.3692973,25.6670148),(-100.370654,25.6669718),(-100.372016,25.6669041)]",0.0,11.0,40.0,25.0,0.75,-1.0,-1.0,-1.0
1028,137578312,1.0530617357553812e-20,"[(-100.3719985,25.6639989),(-100.3723821,25.6641751),(-100.372619,25.6643355),(-100.3727944,25.6646143),(-100.372883,25.6648607),(-100.3729099,25.6654339)]",0.0,13.0,17.0,16.0,0.75,-1.0,-1.0,-1.0
1029,137578314,3.2661313427863805e-13,"[(-100.3685021,25.6663595),(-100.3691359,25.6664542),(-100.369565,25.6664832),(-100.370389,25.6664638)]",3.0,7.0,15.0,9.0,0.75,-1.0,-1.0,-1.0
1030,137578314,6.387142293058422e-21,"[(-100.370389,25.6664638),(-100.3708954,25.666459),(-100.3713404,25.6664542),(-100.3719734,25.6663478)]",2.0,11.0,21.0,16.0,0.75,-1.0,-1.0,-1.0
1031,137578314,1.647265708374567e-19,"[(-100.3719734,25.6663478),(-100.3734486,25.666048),(-100.3736585,25.6660171),(-100.3738893,25.6660094),(-100.3741794,25.6660262),(-100.3745196,25.6660936)]",1.0,14.0,22.0,8.0,0.75,-1.0,-1.0,-1.0
1032,138335757,7.484622751061123e-05,"[(-100.3340308,25.6514269),(-100.3343017,25.6505913),(-100.3344213,25.6502224),(-100.3345123,25.6499415),(-100.3345524,25.6498177),(-100.3346605,25.6494843),(-100.3347594,25.6491793),(-100.3348231,25.6489827),(-100.3348749,25.6488374),(-100.3348926,25.6487948),(-100.3349637,25.6486368),(-100.334979,25.6485519)]",6.0,9.0,3.0,2.0,0.75,-1.0,-1.0,-1.0
1033,138335757,0.5,"[(-100.3339797877627,25.651578445118403),(-100.334018,25.651465),(-100.3340308,25.6514269)]",8.0,0.0,3.0,3.0,0.75,-1.0,-1.0,-1.0
1034,138335757,0.1824255238063563,"[(-100.3339797877627,25.651578445118407),(-100.3339797877627,25.651578445118403)]",6.0,0.0,3.0,3.0,0.75,-1.0,-1.0,-1.0
1035,138335757,0.0140636270432454,"[(-100.3338769,25.6518839),(-100.33392929957617,25.651728335276736)]",5.0,0.0,3.0,5.0,0.75,-1.0,-1.0,-1.0
1036,138335757,0.2689414213699951,"[(-100.33392929957617,25.651728335276736),(-100.3339797877627,25.651578445118407)]",8.0,0.0,3.0,4.0,0.75,-1.0,-1.0,-1.0
1037,138335761,0.00012339457598623172,"[(-100.3326811,25.6474347),(-100.3326964,25.6475377),(-100.3327538,25.6476279),(-100.3328446,25.6476919)]",0.0,4.0,4.0,1.0,0.75,-1.0,-1.0,-1.0
1038,138335761,0.2689414213699951,"[(-100.3330249,25.6471834),(-100.3329136,25.6471872),(-100.3328116,25.6472273)]",0.0,0.0,1.0,0.0,0.75,-1.0,-1.0,-1.0
1039,138335761,0.1192029220221175,"[(-100.3328116,25.6472273),(-100.3327196,25.6473173),(-100.3326811,25.6474347)]",0.0,0.0,2.0,0.0,0.75,-1.0,-1.0,-1.0
1040,138335761,0.2689414213699951,"[(-100.33313,25.6472164),(-100.3330249,25.6471834)]",0.0,0.0,1.0,0.0,0.75,-1.0,-1.0,-1.0
1041,138335761,0.0003353501304664781,"[(-100.3330733,25.647708),(-100.3331965,25.6476385),(-100.333269,25.6475251),(-100.3332739,25.6473942)]",0.0,3.0,5.0,0.0,0.75,-1.0,-1.0,-1.0
1042,138335761,0.0003353501304664781,"[(-100.3328446,25.6476919),(-100.3329572,25.6477204),(-100.3330733,25.647708)]",0.0,4.0,4.0,0.0,0.75,-1.0,-1.0,-1.0
1043,138335761,0.5,"[(-100.3332739,25.6473942),(-100.3332229,25.6472915),(-100.33313,25.6472164)]",0.0,0.0,0.0,0.0,0.75,-1.0,-1.0,-1.0
1044,138335769,7.582560422162384e-10,"[(-100.33313,25.6472164),(-100.3329702,25.6469953),(-100.3328016,25.6466744),(-100.3327542,25.6465157),(-100.3327305,25.6463103),(-100.3326886,25.6458905),(-100.332712,25.6455239),(-100.3327844,25.6452475),(-100.3329675,25.6447754),(-100.333098,25.6445715)]",0.0,1.0,11.0,9.0,0.75,-1.0,-1.0,-1.0
1045,138336519,0.1192029220221175,"[(-100.3378686,25.6546901),(-100.337778,25.6548503),(-100.3376292,25.6551344)]",0.0,1.0,1.0,0.0,0.75,-1.0,-1.0,-1.0
1046,138336520,0.0009110511944006454,"[(-100.3386973,25.6531818),(-100.3386158,25.6534795),(-100.3385327,25.6537515),(-100.3384714,25.6538905),(-100.3382903,25.6541758),(-100.33815845959631,25.654340299860387)]",0.0,5.0,1.0,1.0,0.75,-1.0,-1.0,-1.0
1047,138336520,0.2689414213699951,"[(-100.33815845959631,25.654340299860387),(-100.33815845959631,25.65434029986039)]",0.0,0.0,1.0,0.0,0.75,-1.0,-1.0,-1.0
1048,138336520,0.2689414213699951,"[(-100.33814056514572,25.65436262711775),(-100.338082,25.6544357),(-100.3378686,25.6546901)]",0.0,0.0,1.0,0.0,0.75,-1.0,-1.0,-1.0
1049,138336520,0.2689414213699951,"[(-100.33814056514572,25.654362627117745),(-100.33814056514572,25.65436262711775)]",0.0,0.0,1.0,0.0,0.75,-1.0,-1.0,-1.0
1050,138336520,0.2689414213699951,"[(-100.33815845959631,25.65434029986039),(-100.33814056514572,25.654362627117745)]",0.0,0.0,1.0,0.0,0.75,-1.0,-1.0,-1.0
1051,138339599,0.0066928509242848,"[(-100.3322154,25.6516461),(-100.3325271,25.6511244)]",0.0,2.0,2.0,1.0,0.75,-1.0,-1.0,-1.0
1052,138339599,3.5356250741744315e-05,"[(-100.3316162,25.652855),(-100.3316829,25.6527251),(-100.331868,25.6523537),(-100.3322154,25.6516461)]",1.0,4.0,6.0,1.0,0.75,-1.0,-1.0,-1.0
1053,138339613,0.00012339457598623172,"[(-100.3390852,25.6547227),(-100.3389693,25.6546311),(-100.3386531,25.6543813)]",0.0,5.0,2.0,2.0,0.75,-1.0,-1.0,-1.0
1054,138339613,0.0066928509242848,"[(-100.3397246,25.6551882),(-100.3395204,25.6550347),(-100.3392186,25.654836),(-100.3390852,25.6547227)]",0.0,2.0,1.0,2.0,0.75,-1.0,-1.0,-1.0
1055,138339613,1.5229979512760353e-08,"[(-100.3418753,25.6568706),(-100.3415814,25.6566576),(-100.3410369,25.6562236),(-100.3404817,25.6557776),(-100.3400338,25.6554342),(-100.3397246,25.6551882)]",0.0,9.0,8.0,1.0,0.75,-1.0,-1.0,-1.0
1056,138339629,3.5356250741744315e-05,"[(-100.3363735,25.6532703),(-100.3357267,25.6544825)]",1.0,1.0,6.0,4.0,0.75,-1.0,-1.0,-1.0
1057,138339635,4.53978687024344e-05,"[(-100.3347235,25.6540699),(-100.3350983,25.653315),(-100.3353933,25.6527207)]",0.0,2.0,6.0,2.0,0.75,-1.0,-1.0,-1.0
1058,138339637,1.670142184809518e-05,"[(-100.3346742,25.6540494),(-100.3336935,25.6536701)]",0.0,5.0,5.0,1.0,0.75,-1.0,-1.0,-1.0
1059,138339637,1.670142184809518e-05,"[(-100.3351736,25.6542586),(-100.3347235,25.6540699)]",0.0,2.0,5.0,4.0,0.75,-1.0,-1.0,-1.0
1060,138339637,0.00020342697805520653,"[(-100.3372874,25.6551316),(-100.3372316,25.6550649),(-100.3357267,25.6544825)]",2.0,1.0,6.0,3.0,0.75,-1.0,-1.0,-1.0
1061,138339637,9.610241549947396e-05,"[(-100.3357267,25.6544825),(-100.3351736,25.6542586)]",1.0,0.0,7.0,3.0,0.75,-1.0,-1.0,-1.0
1062,138339637,0.0066928509242848,"[(-100.3347235,25.6540699),(-100.3346742,25.6540494)]",0.0,2.0,2.0,1.0,0.75,-1.0,-1.0,-1.0
1063,138346094,0.0024726231566347,"[(-100.3264471,25.6431067),(-100.3265718,25.6431592),(-100.3268909,25.6432898),(-100.3270893,25.643355)]",0.0,5.0,1.0,0.0,0.75,-1.0,-1.0,-1.0
1064,138346094,4.363462233903898e-09,"[(-100.3220228,25.6414541),(-100.3235096,25.6419114),(-100.3239245,25.6420337)]",5.0,16.0,6.0,1.0,0.75,-1.0,-1.0,-1.0
1065,138346094,1.7139084315420102e-15,"[(-100.3239245,25.6420337),(-100.3261335,25.6428909),(-100.3263432,25.6430424),(-100.3264471,25.6431067)]",0.0,10.0,22.0,2.0,0.75,-1.0,-1.0,-1.0
1067,138346113,1.4449800373124837e-07,"[(-100.3240602,25.6418969),(-100.3226995,25.6414759),(-100.3221805,25.6413132)]",3.0,12.0,6.0,0.0,0.75,-1.0,-1.0,-1.0
1068,138346113,4.53978687024344e-05,"[(-100.3214271,25.6410395),(-100.3212186,25.6409138),(-100.3210027,25.6407367),(-100.3203931,25.639985),(-100.3201989,25.6397258),(-100.3201722,25.6396705)]",0.0,6.0,2.0,2.0,0.75,-1.0,-1.0,-1.0
1069,138346113,0.0009110511944006454,"[(-100.3217347,25.6411801),(-100.3214271,25.6410395)]",0.0,5.0,0.0,2.0,0.75,-1.0,-1.0,-1.0
1070,138346113,3.726639284186561e-06,"[(-100.3221805,25.6413132),(-100.3217347,25.6411801)]",2.0,12.0,1.0,1.0,0.75,-1.0,-1.0,-1.0
1071,138346113,0.0024726231566347,"[(-100.3267143,25.6427858),(-100.3264647,25.642742),(-100.3259966,25.6426502)]",0.0,0.0,6.0,0.0,0.75,-1.0,-1.0,-1.0
1072,138346113,3.059022269256247e-07,"[(-100.3247847,25.642169),(-100.3240602,25.6418969)]",0.0,4.0,9.0,2.0,0.75,-1.0,-1.0,-1.0
1073,138346113,1.0261879630648827e-10,"[(-100.3259966,25.6426502),(-100.3247847,25.642169)]",0.0,8.0,14.0,1.0,0.75,-1.0,-1.0,-1.0
1074,138346113,0.0003353501304664781,"[(-100.3272721,25.6430082),(-100.3270893,25.6429035),(-100.3268582,25.642823),(-100.3267143,25.6427858)]",0.0,0.0,8.0,0.0,0.75,-1.0,-1.0,-1.0
1075,139333090,2.0611536181902037e-09,"[(-100.3383608,25.6545394),(-100.3385132,25.6546624),(-100.3390343,25.6550602),(-100.3401251,25.6559396),(-100.3408541,25.6565212),(-100.3414895,25.6570289),(-100.3417957,25.6572725),(-100.3428756,25.6581206),(-100.3429342,25.6581666)]",0.0,10.0,7.0,3.0,0.75,-1.0,-1.0,-1.0
1076,138783819,2.1705220113036395e-29,"[(-100.3434754,25.6585882),(-100.3436681,25.6587451),(-100.3438754,25.6589138),(-100.3443689,25.659316),(-100.344764,25.6595513),(-100.345206,25.6596919),(-100.3454474,25.6597578),(-100.3459686,25.6598803),(-100.3472918,25.6603494),(-100.3483946,25.6607681),(-100.3488284,25.6609285),(-100.3492759,25.661094),(-100.3501595,25.6614238),(-100.3504768,25.6615423),(-100.351955,25.6621021),(-100.3523136,25.6622185)]",0.0,13.0,42.0,11.0,0.75,-1.0,-1.0,-1.0
1077,138783819,0.2689414213699951,"[(-100.3429342,25.6581666),(-100.3431462,25.6583127),(-100.3433297,25.6584542),(-100.3434754,25.6585882)]",0.0,0.0,0.0,1.0,0.75,-1.0,-1.0,-1.0
1078,138783819,0.2689414213699951,"[(-100.33823242609182,25.65441308186197),(-100.33815845959631,25.654340299860387)]",0.0,0.0,1.0,0.0,0.75,-1.0,-1.0,-1.0
1079,138783824,0.2689414213699951,"[(-100.33815845959631,25.654340299860387),(-100.33815845959631,25.654340299860383)]",0.0,0.0,1.0,0.0,0.75,-1.0,-1.0,-1.0
1080,138783824,5.384940217751137e-13,"[(-100.33815845959631,25.654340299860383),(-100.3372118,25.6534088),(-100.3369746,25.6532318),(-100.3356387,25.6524602),(-100.3351408,25.6521872),(-100.3344335,25.6518333)]",1.0,13.0,13.0,3.0,0.75,-1.0,-1.0,-1.0
1081,138783824,0.2689414213699951,"[(-100.3383608,25.6545394),(-100.33830053236024,25.6544800974817)]",0.0,0.0,1.0,0.0,0.75,-1.0,-1.0,-1.0
1082,138783824,0.2689414213699951,"[(-100.33830053236024,25.6544800974817),(-100.33823242609182,25.65441308186197)]",0.0,0.0,1.0,0.0,0.75,-1.0,-1.0,-1.0
1083,138783824,0.00012339457598623172,"[(-100.3214487,25.6445368),(-100.3213173,25.6444329)]",0.0,2.0,3.0,4.0,0.75,-1.0,-1.0,-1.0
1084,138783838,4.4777324417183015e-19,"[(-100.3735078,25.6611834),(-100.3719187,25.6607695)]",1.0,7.0,23.0,13.0,0.75,-1.0,-1.0,-1.0
1085,139333082,1.0261879630648827e-10,"[(-100.3725884,25.6587748),(-100.3727581,25.6582582)]",0.0,4.0,10.0,9.0,0.75,-1.0,-1.0,-1.0
1086,139333083,1.2501528648238603e-09,"[(-100.3722711,25.6597733),(-100.3724274,25.6592531)]",2.0,4.0,11.0,7.0,0.75,-1.0,-1.0,-1.0
1087,139333083,1.12535162055095e-07,"[(-100.371761,25.6612561),(-100.3719187,25.6607695)]",0.0,5.0,7.0,4.0,0.75,-1.0,-1.0,-1.0
1088,139333083,2.1724399346070676e-10,"[(-100.3719187,25.6607695),(-100.3721055,25.6602628)]",1.0,8.0,9.0,6.0,0.75,-1.0,-1.0,-1.0
1089,139333083,1.3176514268359263e-10,"[(-100.3721055,25.6602628),(-100.3722711,25.6597733)]",3.0,6.0,11.0,8.0,0.75,-1.0,-1.0,-1.0
1090,139333083,7.582560422162384e-10,"[(-100.3724274,25.6592531),(-100.3725884,25.6587748)]",0.0,3.0,11.0,7.0,0.75,-1.0,-1.0,-1.0
1091,139333083,7.781132241133798e-20,"[(-100.3725884,25.6587748),(-100.3744412,25.6592843)]",0.0,4.0,21.0,19.0,0.75,-1.0,-1.0,-1.0
1092,139333086,4.1399375473943306e-08,"[(-100.3870958,25.6586064),(-100.3873633,25.6580849)]",0.0,7.0,7.0,3.0,0.75,-1.0,-1.0,-1.0
1093,139333088,1.3887943864771144e-11,"[(-100.3876444,25.6575368),(-100.3879322,25.6569755)]",0.0,8.0,12.0,5.0,0.75,-1.0,-1.0,-1.0
1094,139333088,1.3887943864771144e-11,"[(-100.3873633,25.6580849),(-100.3876444,25.6575368)]",0.0,8.0,10.0,7.0,0.75,-1.0,-1.0,-1.0
1095,139333088,2.7894680920908113e-10,"[(-100.3879322,25.6569755),(-100.3881635,25.6564743)]",0.0,8.0,11.0,3.0,0.75,-1.0,-1.0,-1.0
1096,139333088,0.0052201256935583,"[(-100.3834774,25.6592132),(-100.38346364486124,25.659209267555482)]",1.0,3.0,1.0,2.0,0.75,-1.0,-1.0,-1.0
1097,139333089,9.237449576640121e-09,"[(-100.38346364486124,25.659209267555482),(-100.3818432,25.658746)]",2.0,10.0,4.0,6.0,0.75,-1.0,-1.0,-1.0
1098,139333089,2.576757109154981e-18,"[(-100.3818432,25.658746),(-100.3800666,25.6587805)]",2.0,11.0,18.0,13.0,0.75,-1.0,-1.0,-1.0
1099,139333089,1.955568070542584e-08,"[(-100.3732265,25.6605949),(-100.3733887,25.660101)]",3.0,5.0,4.0,11.0,0.75,-1.0,-1.0,-1.0
1100,139333090,4.785094494890119e-06,"[(-100.3733887,25.660101),(-100.3735555,25.6595878)]",1.0,6.0,2.0,5.0,0.75,-1.0,-1.0,-1.0
1101,139333091,2.0611536181902037e-09,"[(-100.3920315,25.6622753),(-100.3911261,25.6617946),(-100.3908821,25.6617193),(-100.3903429,25.6615529)]",0.0,8.0,10.0,2.0,0.75,-1.0,-1.0,-1.0
1102,139333091,4.599055376537186e-10,"[(-100.3895903,25.6613285),(-100.3891091,25.6611322),(-100.3880453,25.6607144),(-100.3878404,25.6606327)]",2.0,3.0,14.0,6.0,0.75,-1.0,-1.0,-1.0
1103,139333091,0.0066928509242848,"[(-100.3903429,25.6615529),(-100.3895903,25.6613285)]",0.0,0.0,2.0,3.0,0.75,-1.0,-1.0,-1.0
1104,139333092,2.543665647376276e-13,"[(-100.3886461,25.6578231),(-100.3876444,25.6575368)]",0.0,4.0,19.0,6.0,0.75,-1.0,-1.0,-1.0
1105,139333093,1.5229979512760353e-08,"[(-100.3742733,25.6524457),(-100.3741655,25.6514384),(-100.374162,25.6514058)]",4.0,9.0,6.0,6.0,0.75,-1.0,-1.0,-1.0
1106,139333093,0.0007096703991005881,"[(-100.374162,25.6514058),(-100.37415588440699,25.651350953808734)]",1.0,4.0,3.0,1.0,0.75,-1.0,-1.0,-1.0
1107,139333093,0.0019267346633274,"[(-100.37415588440699,25.651350953808734),(-100.3741557,25.6513493)]",1.0,4.0,2.0,1.0,0.75,-1.0,-1.0,-1.0
1108,139333095,9.602680054508677e-24,"[(-100.3799861,25.6640146),(-100.3813109,25.6643996),(-100.3813558,25.6644126)]",8.0,20.0,19.0,20.0,0.75,-1.0,-1.0,-1.0
1109,139333095,3.263247861014401e-32,"[(-100.3778189,25.6633796),(-100.3799861,25.6640146)]",2.0,25.0,27.0,22.0,0.75,-1.0,-1.0,-1.0
1110,139333095,4.4777324417183015e-19,"[(-100.3756927,25.6627654),(-100.3778189,25.6633796)]",1.0,23.0,15.0,5.0,0.75,-1.0,-1.0,-1.0
1111,139333095,5.9821282237671e-15,"[(-100.371761,25.6612561),(-100.3733047,25.6616832)]",3.0,7.0,18.0,10.0,0.75,-1.0,-1.0,-1.0
1112,139333095,1.0261879630648827e-10,"[(-100.3705514,25.6608962),(-100.371761,25.6612561)]",0.0,9.0,8.0,6.0,0.75,-1.0,-1.0,-1.0
1113,139333095,1.855391018368332e-07,"[(-100.3733047,25.6616832),(-100.3734694,25.661755)]",2.0,5.0,8.0,4.0,0.75,-1.0,-1.0,-1.0
1114,139333095,2.576757109154981e-18,"[(-100.3734694,25.661755),(-100.3756927,25.6627654)]",2.0,13.0,22.0,7.0,0.75,-1.0,-1.0,-1.0
1115,139333097,7.582560422162384e-10,"[(-100.3884638,25.6583937),(-100.3873633,25.6580849)]",0.0,4.0,7.0,10.0,0.75,-1.0,-1.0,-1.0
1116,139333098,3.1391327920480296e-17,"[(-100.3734694,25.661755),(-100.3758995,25.6620956)]",4.0,13.0,18.0,10.0,0.75,-1.0,-1.0,-1.0
1117,139333099,6.47023492564546e-26,"[(-100.3877557,25.6601753),(-100.385927,25.6596462)]",0.0,3.0,34.0,21.0,0.75,-1.0,-1.0,-1.0
1118,139333100,5.9821282237671e-15,"[(-100.3733887,25.660101),(-100.3722711,25.6597733)]",3.0,5.0,14.0,16.0,0.75,-1.0,-1.0,-1.0
1119,139333101,2.9400777391980316e-11,"[(-100.382294,25.6625156),(-100.382255,25.6625044),(-100.3806813,25.6620538)]",1.0,7.0,11.0,7.0,0.75,-1.0,-1.0,-1.0
1120,139333101,0.0002611903190957194,"[(-100.3824041,25.6625482),(-100.3823832,25.662542),(-100.382294,25.6625156)]",1.0,2.0,4.0,3.0,0.75,-1.0,-1.0,-1.0
1121,139333101,1.4068617124461467e-16,"[(-100.3806813,25.6620538),(-100.3785196,25.6614325)]",2.0,10.0,11.0,17.0,0.75,-1.0,-1.0,-1.0
1122,139333101,3.723363121750511e-25,"[(-100.3763678,25.660784),(-100.3743848,25.6598288)]",1.0,22.0,10.0,25.0,0.75,-1.0,-1.0,-1.0
1123,139333101,1.039538011670221e-15,"[(-100.3785196,25.6614325),(-100.3773594,25.6611061),(-100.3763678,25.660784)]",2.0,13.0,3.0,20.0,0.75,-1.0,-1.0,-1.0
1124,139333104,8.315280276641321e-07,"[(-100.3888393,25.6572767),(-100.3879322,25.6569755)]",0.0,4.0,8.0,2.0,0.75,-1.0,-1.0,-1.0
1125,139333120,8.315280276641321e-07,"[(-100.3767823,25.6658649),(-100.3748332,25.6653053)]",12.0,6.0,12.0,5.0,0.75,-1.0,-1.0,-1.0
1127,141259686,3.398267807946847e-09,"[(-100.3220228,25.6414541),(-100.3217008,25.6417307),(-100.3210738,25.6422918),(-100.3207413,25.6425894),(-100.3206363,25.6426833),(-100.3202466,25.643032)]",2.0,14.0,2.0,5.0,0.75,-1.0,-1.0,-1.0
1128,141532957,0.1824255238063563,"[(-100.352849,25.6422065),(-100.3528277,25.6421332),(-100.3527849,25.6420805),(-100.3527246,25.6420441),(-100.3526863,25.6420328),(-100.352641,25.6420343)]",2.0,2.0,0.0,1.0,0.75,-1.0,-1.0,-1.0
1129,141532957,0.0474258731775667,"[(-100.3528326,25.6422903),(-100.352849,25.6422065)]",0.0,3.0,0.0,0.0,0.75,-1.0,-1.0,-1.0
1130,141532957,0.0373268873441294,"[(-100.352641,25.6420343),(-100.3525788,25.6420365),(-100.3525143,25.6420663)]",1.0,3.0,0.0,1.0,0.75,-1.0,-1.0,-1.0
1131,141532957,0.0179862099620915,"[(-100.3524508,25.6422874),(-100.3524641,25.6423177),(-100.3525052,25.6423602)]",0.0,3.0,0.0,1.0,0.75,-1.0,-1.0,-1.0
1132,141532957,0.0052201256935583,"[(-100.3524688,25.6421089),(-100.3524351,25.6421815),(-100.352435,25.6422513),(-100.3524508,25.6422874)]",1.0,5.0,0.0,1.0,0.75,-1.0,-1.0,-1.0
1133,141532957,0.0179862099620915,"[(-100.3525052,25.6423602),(-100.352571,25.6424003),(-100.3526669,25.6424034),(-100.3527057,25.6423954),(-100.3527934,25.6423448),(-100.3528326,25.6422903)]",0.0,4.0,0.0,0.0,0.75,-1.0,-1.0,-1.0
1134,141532957,0.0052201256935583,"[(-100.3525143,25.6420663),(-100.3524688,25.6421089)]",1.0,5.0,0.0,1.0,0.75,-1.0,-1.0,-1.0
1135,141532958,1.6052280526088547e-09,"[(-100.3376935,25.6383025),(-100.3377155,25.6384034),(-100.3377494,25.6385649),(-100.3377958,25.638797),(-100.3380767,25.6402116),(-100.3381087,25.6402499)]",5.0,3.0,21.0,0.0,0.75,-1.0,-1.0,-1.0
1136,141532960,2.9400777391980316e-11,"[(-100.3381087,25.6402499),(-100.33813,25.6401962),(-100.3378618,25.6387644),(-100.3378289,25.6385835),(-100.3378451,25.6385385),(-100.3378772,25.6384493),(-100.3378953,25.6384127),(-100.3379301,25.6383539)]",5.0,6.0,22.0,0.0,0.75,-1.0,-1.0,-1.0
1137,142214798,0.0052201256935583,"[(-100.3265564,25.6511273),(-100.3264446,25.6512697),(-100.3263296,25.6512639),(-100.3262679,25.6511987),(-100.3262721,25.6510048),(-100.3262168,25.6508091),(-100.3260657,25.6505712),(-100.3259013,25.6504221),(-100.3249991,25.6500722)]",1.0,0.0,6.0,0.0,0.75,-1.0,-1.0,-1.0
1138,142214799,5.6027964061459414e-09,"[(-100.3322154,25.6516461),(-100.3309801,25.6511595),(-100.33086,25.6511128),(-100.3307164,25.651057),(-100.3295863,25.6505837)]",0.0,7.0,9.0,3.0,0.75,-1.0,-1.0,-1.0
1139,142214800,5.6027964061459414e-09,"[(-100.3301485,25.649812),(-100.3300663,25.6499339),(-100.3296653,25.6505285),(-100.3295863,25.6505837)]",0.0,8.0,10.0,1.0,0.75,-1.0,-1.0,-1.0
1141,142214803,0.0474258731775667,"[(-100.3250871,25.6480505),(-100.3250023,25.648055),(-100.3249144,25.648048),(-100.3248853,25.6480764)]",0.0,0.0,3.0,0.0,0.75,-1.0,-1.0,-1.0
1142,142214807,0.0009110511944006454,"[(-100.3222216,25.6464399),(-100.3223021,25.646334)]",0.0,0.0,2.0,5.0,0.75,-1.0,-1.0,-1.0
1144,142214808,0.0009110511944006454,"[(-100.3230695,25.647698),(-100.3234301,25.6478979)]",0.0,3.0,2.0,2.0,0.75,-1.0,-1.0,-1.0
1145,142214809,0.0474258731775667,"[(-100.3293073,25.6468389),(-100.3293595,25.6469142),(-100.329442,25.6469628),(-100.3295395,25.6469756)]",0.0,2.0,1.0,0.0,0.75,-1.0,-1.0,-1.0
1146,142214809,0.5,"[(-100.3295395,25.6469756),(-100.3296138,25.6469592)]",0.0,0.0,0.0,0.0,0.75,-1.0,-1.0,-1.0
1147,142214809,0.0179862099620915,"[(-100.3292942,25.6467776),(-100.3293073,25.6468389)]",0.0,2.0,2.0,0.0,0.75,-1.0,-1.0,-1.0
1148,142214809,0.0066928509242848,"[(-100.3293793,25.6466091),(-100.3293146,25.6466843),(-100.3292942,25.6467776)]",0.0,2.0,2.0,1.0,0.75,-1.0,-1.0,-1.0
1149,146943407,0.0024726231566347,"[(-100.3297499,25.6467431),(-100.3297176,25.6466613),(-100.3296509,25.6465987),(-100.3295615,25.6465664),(-100.3294653,25.6465701),(-100.3293793,25.6466091)]",0.0,2.0,2.0,2.0,0.75,-1.0,-1.0,-1.0
1150,142214809,0.1192029220221175,"[(-100.3296138,25.6469592),(-100.3296932,25.6469077),(-100.3297415,25.6468309),(-100.3297499,25.6467431)]",0.0,0.0,0.0,2.0,0.75,-1.0,-1.0,-1.0
1151,142214809,0.0007096703991005881,"[(-100.3268434,25.6494544),(-100.3263359,25.6504986),(-100.3263343,25.6506729),(-100.3263765,25.650859),(-100.3264638,25.6510394),(-100.3265564,25.6511273)]",1.0,0.0,8.0,0.0,0.75,-1.0,-1.0,-1.0
1152,142214810,8.764247451323236e-08,"[(-100.3295863,25.6505837),(-100.328464,25.6501306),(-100.328386,25.6500984),(-100.3279923,25.6499331),(-100.3268434,25.6494544)]",1.0,5.0,11.0,1.0,0.75,-1.0,-1.0,-1.0
1155,142214813,1.647265708374567e-19,"[(-100.37044271737713,25.62765763503157),(-100.3702709,25.6276797),(-100.3701048,25.6276793),(-100.369935,25.6276447),(-100.3697581,25.6275637),(-100.3696146,25.6274038),(-100.3694738,25.6272469),(-100.3692297,25.6266375),(-100.36905,25.6264223),(-100.3688864,25.6263086),(-100.3686557,25.6262143),(-100.3684277,25.6261901),(-100.3681648,25.6262288),(-100.3679664,25.6262917),(-100.3678376,25.6263788),(-100.3675721,25.6266109),(-100.3673253,25.626756),(-100.3671617,25.6268068),(-100.3669578,25.6268092),(-100.3657508,25.6266133),(-100.3656141,25.6265918),(-100.3655612,25.6265835)]",1.0,4.0,38.0,2.0,0.75,-1.0,-1.0,-1.0
1156,142421238,0.0179862099620915,"[(-100.3697935,25.6216786),(-100.3697049,25.6216667),(-100.3696123,25.6216758),(-100.3694381,25.6217324)]",0.0,4.0,0.0,0.0,0.75,-1.0,-1.0,-1.0
1157,142421238,3.0988191387122225e-12,"[(-100.36936032973352,25.621797506628052),(-100.369289,25.6218671),(-100.3691947,25.6220007),(-100.3691436,25.6221693),(-100.3690628,25.6224612),(-100.3690089,25.6225863),(-100.3688867,25.6226947),(-100.368771,25.6227923),(-100.3685779,25.6228237),(-100.3675426,25.6227681),(-100.3667835,25.6226907),(-100.3664857,25.6225746),(-100.3663651,25.6224754),(-100.3662636,25.6223536),(-100.3658447,25.6213944),(-100.365657,25.6210268),(-100.3654504,25.6208647),(-100.3651983,25.6207559),(-100.3649757,25.6207269),(-100.3647155,25.6207632),(-100.3645331,25.6208527),(-100.364399,25.6209591),(-100.3642327,25.6211671),(-100.3641729,25.6213372),(-100.3641522,25.6214863)]",2.0,5.0,16.0,7.0,0.75,-1.0,-1.0,-1.0
1158,142421238,0.0179862099620915,"[(-100.36936032973352,25.62179750662805),(-100.36936032973352,25.621797506628052)]",0.0,4.0,0.0,0.0,0.75,-1.0,-1.0,-1.0
